cluster,n_peaks,pct_intergenic,pct_intronic,pct_exonic,pct_promoter,median_tss_distance,q25_tss_distance,q75_tss_distance,pct_within_2kb_tss,median_peak_width
1_13,16237,37.62,43.68,17.29,1.4,14203.0,7057.0,25916.0,6.28,430.0
1_2,657,47.03,42.47,7.91,2.59,15584.0,6633.0,27442.0,7.97,407.0
1_3,913,39.32,42.94,16.32,1.42,14900.0,6952.0,26636.0,5.85,419.0
1_4,547,31.26,44.79,22.85,1.1,14768.0,8135.0,26929.0,6.56,390.0
1_5,2304,36.81,47.57,14.5,1.13,15470.0,7800.0,27537.0,5.51,476.0
1_6,399,48.62,44.11,6.77,0.5,22016.0,10991.0,32162.0,3.28,494.0
1_7,11631,33.94,41.54,22.94,1.57,13500.0,6383.0,25265.0,6.89,553.0
1_8,5548,41.65,44.68,12.42,1.24,15484.0,7554.0,28063.0,6.19,349.0
1_9,5815,42.27,45.83,10.8,1.1,15476.0,7428.0,27728.0,6.47,307.0
20_0,1896,34.76,39.03,24.05,2.16,12758.0,5791.0,25055.0,7.7,750.0
20_1,444,47.07,36.71,13.74,2.48,14784.0,6310.0,27188.0,7.82,458.0
20_2,747,37.62,39.63,21.02,1.74,15334.0,6561.0,27531.0,7.69,534.0
20_3,1195,32.72,33.89,29.29,4.1,10363.0,4083.0,21242.0,12.76,873.0
20_4,603,35.99,33.33,26.37,4.31,11371.0,4544.0,23296.0,11.85,809.0
20_5,729,40.05,40.6,17.97,1.37,14957.0,7164.0,27346.0,5.68,526.0
21_0,1674,33.69,46.89,15.11,4.3,13798.0,5291.0,26728.0,10.67,900.0
21_1,165,27.27,48.48,23.03,1.21,14324.0,5542.0,26004.0,7.26,841.0
21_2,709,41.89,45.98,11.28,0.85,14643.0,7141.0,26947.0,5.03,555.0
21_3,1249,35.07,45.0,17.69,2.24,15221.0,6602.0,27683.0,7.55,843.0
21_4,1032,38.95,47.58,11.72,1.74,16749.0,7348.0,30347.0,7.23,749.0
21_5,245,40.82,48.16,9.39,1.63,16161.0,6654.0,31210.0,6.02,790.0
21_6,1605,34.95,45.23,18.26,1.56,13931.0,6570.0,27586.0,5.86,713.0
22_0,655,41.37,33.74,21.98,2.9,12288.0,5223.0,25192.0,8.97,732.0
22_1,4841,35.1,34.58,26.25,4.07,11088.0,4365.0,23331.0,11.87,846.0
22_10,335,33.13,44.18,21.19,1.49,13975.0,5646.0,26778.0,8.7,544.0
22_11,359,30.92,42.34,24.51,2.23,13040.0,5897.0,23024.0,7.94,638.0
22_12,4692,40.41,42.82,15.41,1.36,15579.0,7344.0,28684.0,6.17,447.0
22_13,1518,38.01,36.03,23.65,2.31,12994.0,5620.0,25780.0,7.44,722.0
22_14,3213,34.3,37.85,25.46,2.4,12814.0,5306.0,24768.0,9.34,804.0
22_15,758,34.7,40.11,24.14,1.06,14850.0,6747.0,26955.0,4.84,687.0
22_16,916,35.81,43.89,18.34,1.97,14968.0,7071.0,27226.0,7.09,660.0
22_17,712,40.45,34.55,22.33,2.67,13532.0,6218.0,26750.0,7.86,636.0
22_2,665,39.85,38.8,19.55,1.8,15056.0,6590.0,28342.0,8.35,677.0
22_3,684,38.6,38.3,21.2,1.9,13106.0,5604.0,25664.0,6.81,616.0
22_4,430,32.09,36.28,28.6,3.02,14089.0,5954.0,25902.0,8.29,668.0
22_5,427,45.43,36.53,16.39,1.64,15806.0,7103.0,26480.0,5.96,674.0
22_6,1268,40.3,41.88,16.17,1.66,16722.0,7149.0,29485.0,5.86,671.0
22_7,880,37.84,39.66,20.91,1.59,14047.0,6506.0,26077.0,6.79,579.0
22_8,503,35.79,49.9,13.32,0.99,18552.0,8314.0,32610.0,4.08,698.0
22_9,780,37.56,41.54,19.62,1.28,15351.0,6530.0,27481.0,6.7,669.0
23_0,373,10.19,7.51,9.92,72.39,610.0,286.0,1458.0,78.27,2169.0
23_1,595,8.07,3.7,10.76,77.48,453.0,201.0,951.0,84.1,1770.0
23_2,451,9.53,3.33,9.53,77.61,430.0,223.0,897.0,83.3,1695.0
23_3,304,23.03,27.3,14.47,35.2,2868.0,522.0,13503.0,44.0,1452.0
23_4,567,11.46,2.65,6.88,79.01,364.0,189.0,778.0,84.49,1528.0
24_0,3126,36.6,43.79,18.49,1.12,14551.0,6694.0,26839.0,6.17,550.0
24_1,1745,31.35,35.99,30.2,2.46,11253.0,4744.0,22602.0,10.07,826.0
24_10,2674,32.54,39.94,25.32,2.21,13413.0,5616.0,25471.0,8.04,773.0
24_11,2485,35.9,38.63,23.74,1.73,13471.0,6190.0,25651.0,6.27,703.0
24_12,336,40.77,44.05,14.29,0.89,15878.0,7169.0,28662.0,4.07,401.0
24_13,325,38.15,51.38,9.85,0.62,16972.0,7512.0,29237.0,5.96,579.0
24_14,801,38.83,39.33,20.47,1.37,13152.0,5623.0,25698.0,6.81,608.0
24_15,140,38.57,39.29,20.0,2.14,12895.0,6424.0,26030.0,9.52,543.0
24_2,222,28.83,42.34,26.58,2.25,11658.0,5759.0,25219.0,5.73,607.0
24_3,353,39.09,43.06,16.43,1.42,15205.0,7145.0,28115.0,3.95,429.0
24_4,635,32.91,43.15,21.73,2.2,12626.0,5508.0,23968.0,8.27,532.0
24_5,871,36.39,41.91,19.98,1.72,13217.0,6270.0,26662.0,6.09,526.0
24_6,174,38.51,41.95,18.97,0.57,14770.0,6747.0,27587.0,7.09,516.0
24_7,2961,43.3,44.61,11.45,0.64,15876.0,7435.0,28586.0,5.41,322.0
24_8,638,41.07,41.85,15.99,1.1,14005.0,7496.0,26896.0,5.63,434.0
24_9,515,42.52,44.66,11.46,1.36,17049.0,7122.0,30876.0,6.65,680.0
25_0,971,30.28,36.46,29.76,3.5,12996.0,6210.0,23266.0,8.1,630.0
25_1,2745,29.29,39.42,28.45,2.84,12237.0,4952.0,24560.0,9.17,798.0
25_10,136,38.97,40.44,19.12,1.47,15562.0,9292.0,25736.0,3.92,818.0
25_11,361,34.63,37.4,26.32,1.66,14222.0,6982.0,22228.0,4.64,519.0
25_12,2320,32.41,43.84,21.85,1.9,13014.0,6127.0,23795.0,7.52,382.0
25_2,358,28.21,34.92,32.96,3.91,11956.0,4351.0,22469.0,12.46,652.0
25_3,1115,30.76,46.1,18.12,5.02,12490.0,5198.0,24780.0,9.55,887.0
25_4,152,34.87,29.61,28.95,6.58,10495.0,3760.0,20738.0,16.0,797.0
25_5,272,30.51,37.5,29.78,2.21,11744.0,5256.0,26410.0,9.55,696.0
25_6,258,27.13,37.21,30.62,5.04,11621.0,4595.0,25348.0,11.71,700.0
25_7,1829,28.87,40.46,28.16,2.52,12395.0,5234.0,23803.0,8.61,633.0
25_8,510,27.84,40.59,29.41,2.16,11896.0,5506.0,24221.0,7.99,576.0
25_9,763,33.68,41.55,22.41,2.36,14553.0,6422.0,27362.0,7.87,692.0
26_0,1948,33.83,45.94,14.22,6.01,15002.0,6076.0,28045.0,11.09,1038.0
26_1,4228,24.95,15.02,15.21,44.82,1168.0,246.0,8700.0,54.9,1067.0
26_10,1442,37.59,45.7,12.21,4.51,15974.0,6327.0,29612.0,9.86,924.0
26_11,385,30.13,43.64,19.48,6.75,13690.0,5824.0,26910.0,11.96,986.0
26_12,4309,15.41,11.72,10.05,62.82,437.0,198.0,3450.0,70.97,1319.0
26_2,866,13.86,9.35,7.74,69.05,454.0,210.0,2176.0,74.4,1454.0
26_3,1786,37.46,47.26,11.81,3.47,14662.0,5779.0,26779.0,9.9,920.0
26_4,686,35.86,43.44,11.37,9.33,12870.0,4378.0,25135.0,15.59,1254.0
26_5,726,35.67,40.5,13.36,10.47,12497.0,4312.0,24873.0,17.34,1020.0
26_6,557,36.62,40.57,14.9,7.9,11800.0,3721.0,24326.0,14.16,1043.0
26_7,3442,32.22,17.02,20.25,30.51,3357.0,395.0,13057.0,42.01,1003.0
26_8,3040,38.42,46.18,10.66,4.74,15071.0,5756.0,28502.0,9.27,1032.0
26_9,4788,18.76,11.3,12.49,57.46,497.0,200.0,4692.0,66.4,1191.0
27_0,156,31.41,32.05,34.62,1.92,9292.0,4442.0,19241.0,5.93,850.0
27_1,448,35.49,34.82,26.56,3.12,11551.0,4693.0,21741.0,9.14,850.0
27_2,240,34.17,40.42,23.75,1.67,13294.0,4708.0,26870.0,7.61,736.0
27_3,281,27.05,36.65,30.96,5.34,13189.0,5418.0,27175.0,10.97,648.0
27_4,547,37.48,44.06,17.73,0.73,15859.0,7726.0,27942.0,4.1,475.0
27_5,392,35.2,33.67,27.55,3.57,11138.0,4536.0,20827.0,10.15,797.0
28_0,1763,41.46,46.17,10.72,1.64,15945.0,7218.0,29085.0,6.47,698.0
28_1,598,37.63,49.67,11.71,1.0,18072.0,8758.0,33139.0,4.5,560.0
28_10,429,38.0,49.88,10.49,1.63,18596.0,8755.0,31996.0,7.09,781.0
28_11,2172,33.98,45.17,16.9,3.96,15167.0,6249.0,27265.0,8.64,887.0
