cluster,n_peaks,pct_intergenic,pct_intronic,pct_exonic,pct_promoter,median_tss_distance,q25_tss_distance,q75_tss_distance,pct_within_2kb_tss,median_peak_width
3_7,906,41.28,46.36,11.48,0.88,18725.0,9204.0,31651.0,4.23,753.0
3_8,1283,40.92,43.96,13.72,1.4,17779.0,7739.0,29902.0,5.33,696.0
3_9,801,41.32,47.32,10.36,1.0,17341.0,7662.0,29889.0,4.22,833.0
4_0,196,43.88,41.84,7.14,7.14,9258.0,3513.0,19727.0,16.88,442.0
4_1,229,35.81,44.1,18.34,1.75,15822.0,6525.0,26817.0,7.03,344.0
4_2,231,40.69,43.29,14.72,1.3,14532.0,7134.0,25105.0,6.47,392.0
4_3,2329,38.34,42.08,18.03,1.55,13939.0,6722.0,25494.0,6.59,492.0
4_4,3979,43.98,43.75,11.21,1.06,14779.0,6840.0,27233.0,6.01,330.0
5_0,377,25.46,38.2,22.81,13.53,8431.0,2823.0,17665.0,19.83,764.0
5_1,992,38.41,38.61,21.57,1.41,13872.0,5843.0,27279.0,5.28,718.0
5_2,654,32.87,47.4,18.65,1.07,14599.0,6150.0,25094.0,5.46,778.0
5_3,1792,34.15,38.34,23.72,3.79,11490.0,4628.0,23775.0,10.59,853.0
5_4,1873,33.0,41.27,22.96,2.78,13104.0,5540.0,24240.0,7.96,691.0
5_5,1111,36.45,40.77,20.7,2.07,12255.0,5321.0,23203.0,10.3,505.0
5_6,549,37.52,43.9,16.39,2.19,13707.0,5310.0,26064.0,8.11,735.0
5_7,635,34.02,39.84,22.2,3.94,11272.0,4675.0,23008.0,12.65,791.0
5_8,977,33.78,45.75,17.09,3.38,13420.0,5778.0,26252.0,7.34,903.0
5_9,318,30.5,39.94,27.67,1.89,11317.0,4785.0,22310.0,6.69,692.0
6_0,283,38.87,39.93,19.79,1.41,13429.0,6058.0,25251.0,7.25,418.0
6_1,473,40.8,38.48,18.82,1.9,14799.0,7509.0,25546.0,6.46,503.0
6_2,154,32.47,39.61,24.68,3.25,14558.0,5828.0,27242.0,8.33,574.0
6_3,157,39.49,43.31,15.29,1.91,15326.0,6808.0,26759.0,7.27,726.0
6_4,663,36.65,37.41,24.89,1.06,14366.0,6068.0,27139.0,7.58,672.0
6_5,1332,33.93,36.64,27.18,2.25,12517.0,5179.0,24560.0,8.36,793.0
7_0,5497,40.31,47.17,11.21,1.31,15240.0,7460.0,27449.0,6.33,296.0
7_1,20995,47.54,44.42,7.02,1.03,15542.0,7149.0,28024.0,6.89,242.0
7_10,7961,40.23,46.56,12.18,1.02,15146.0,7478.0,26902.0,5.82,315.0
7_11,844,43.13,46.8,8.77,1.3,18744.0,7830.0,32460.0,5.51,372.0
7_12,2643,46.05,43.93,9.31,0.72,15996.0,7772.0,28366.0,5.2,300.0
7_13,28542,40.86,46.35,11.87,0.93,15840.0,7736.0,28137.0,5.52,323.0
7_2,1966,47.3,43.18,6.26,3.26,11190.0,4784.0,21168.0,12.18,318.0
7_3,1131,37.58,48.89,12.2,1.33,15807.0,7444.0,27811.0,4.53,414.0
7_4,21830,35.12,42.01,21.41,1.47,14270.0,6639.0,26337.0,6.53,601.0
7_5,1492,39.48,44.3,14.54,1.68,14322.0,6850.0,26902.0,7.78,408.0
7_6,22246,37.02,44.64,17.14,1.2,14699.0,7194.0,26486.0,5.87,457.0
7_7,1986,38.52,47.53,13.04,0.91,16120.0,7262.0,28565.0,6.22,327.0
7_8,6469,39.37,43.9,15.52,1.21,14456.0,7077.0,26935.0,5.83,356.0
7_9,6717,41.67,44.44,12.85,1.04,15465.0,7524.0,27550.0,6.15,337.0
8_0,1135,29.07,38.15,29.69,3.08,10564.0,4384.0,22482.0,11.38,812.0
8_1,868,31.34,42.05,24.42,2.19,12182.0,4948.0,23637.0,7.9,830.0
8_2,932,36.37,42.38,19.42,1.82,13948.0,5121.0,27893.0,8.84,806.0
8_3,1457,29.79,33.15,33.42,3.64,10051.0,4198.0,20848.0,11.65,828.0
8_4,582,41.75,41.41,14.78,2.06,16709.0,7928.0,30750.0,6.22,478.0
8_5,1475,37.69,41.02,19.19,2.1,15956.0,7432.0,28232.0,6.26,687.0
9_0,794,35.77,44.08,18.39,1.76,14200.0,6894.0,25906.0,6.88,625.0
9_1,353,41.93,41.36,15.3,1.42,16649.0,6534.0,27416.0,8.66,421.0
9_2,724,31.77,41.57,24.31,2.35,12339.0,5036.0,24992.0,8.56,726.0
9_3,795,37.23,45.41,15.47,1.89,13891.0,6364.0,26843.0,8.43,415.0
9_4,622,34.08,32.96,29.74,3.22,11348.0,4916.0,23674.0,10.4,842.0
